carat,cut,color,clarity,depth,table,price
2.03,3,6,4,-1.28930584786095,0.3076923076923076,16422
0.32,2,5,4,-0.7301945060721785,0.28846153846153844,505
1.5,3,7,6,1.0869173547413147,0.2692307692307693,8427
1.21,2,7,5,-0.5205277529013924,0.326923076923077,4675
0.27,1,4,4,-0.17108316428341216,0.2500000000000001,490
0.3,1,2,6,0.10847250661097103,0.2692307692307693,1013
1.01,4,5,2,1.646028696530081,0.2500000000000001,3111
0.46,3,2,4,0.5976949306761453,0.28846153846153844,1245
0.27,3,1,5,-1.28930584786095,0.28846153846153844,470
1.0,2,2,5,0.8772506015705285,0.326923076923077,7096
0.31,1,4,4,0.17836142433456806,0.2692307692307693,698
1.02,1,2,2,0.2482503420581651,0.23076923076923073,4798
0.4,4,2,2,1.715917614253683,0.2692307692307693,798
0.5,1,4,6,0.31813925978176216,0.2500000000000001,1760
0.3,2,3,4,0.7374727661233345,0.28846153846153844,776
0.8,4,4,2,1.715917614253683,0.23076923076923073,2246
2.01,3,5,2,0.9471395192941255,0.3076923076923076,10184
0.3,3,6,2,1.0869173547413147,0.2500000000000001,450
0.7,3,5,2,1.1568062724649117,0.23076923076923073,2094
0.44,3,2,5,-1.429083683308139,0.3076923076923076,1090
0.55,1,2,3,0.38802817750535423,0.2500000000000001,1551
1.01,1,4,6,0.17836142433456806,0.28846153846153844,7597
0.54,3,1,5,0.8772506015705285,0.21153846153846156,2016
0.53,3,4,5,-0.5904166706249895,0.2500000000000001,1636
0.35,1,2,3,0.38802817750535423,0.2500000000000001,614
0.71,1,2,3,-0.8699723415193726,0.2500000000000001,3527
0.5,3,7,2,-0.7301945060721785,0.2692307692307693,947
0.42,2,4,7,-1.3591947655845469,0.28846153846153844,1235
0.54,1,5,7,-0.45063883517779535,0.2692307692307693,1846
0.7,4,6,3,-2.267750695991294,0.34615384615384615,2276
2.22,3,7,2,-0.38074991745419834,0.3846153846153847,10662
1.11,1,4,6,0.038583588887373996,0.2692307692307693,8858
0.32,1,5,4,0.17836142433456806,0.21153846153846156,523
1.01,2,4,5,0.6675838483997424,0.28846153846153844,6221
1.2,4,4,3,1.2266951901885088,0.326923076923077,4828
1.05,3,2,3,-1.429083683308139,0.2692307692307693,6224
0.55,2,2,4,-0.45063883517779535,0.28846153846153844,1928
0.23,3,2,6,0.8772506015705285,0.28846153846153844,505
0.7,1,5,4,0.7374727661233345,0.23076923076923073,2607
1.2,3,2,3,0.5976949306761453,0.28846153846153844,6098
0.41,2,3,5,-0.45063883517779535,0.28846153846153844,1076
1.04,1,6,4,-0.17108316428341216,0.2692307692307693,5105
0.71,3,3,4,-0.31086099973060627,0.2500000000000001,2709
1.56,2,7,5,-0.45063883517779535,0.3076923076923076,8476
1.27,3,6,3,0.8772506015705285,0.326923076923077,6654
0.36,1,2,4,0.2482503420581651,0.23076923076923073,1013
2.1,2,7,3,0.8073616838469315,0.28846153846153844,13930
0.25,3,2,6,0.17836142433456806,0.2500000000000001,560
1.53,2,4,5,-1.0796390946901588,0.3076923076923076,13119
0.75,2,6,3,0.6675838483997424,0.34615384615384615,2142
0.7,5,3,2,-2.47741744916208,0.4423076923076924,1920
0.93,3,3,3,-1.3591947655845469,0.28846153846153844,4256
1.01,2,2,2,-0.8000834237957756,0.28846153846153844,4118
1.0,5,5,3,-3.8053068859104084,0.3846153846153847,4150
1.02,1,4,4,0.5976949306761453,0.2692307692307693,5922
0.31,2,6,5,-1.7785282719261193,0.326923076923077,628
0.4,2,1,3,0.5278060129525484,0.34615384615384615,924
0.31,1,4,8,0.2482503420581651,0.2500000000000001,871
0.28,2,2,7,-0.45063883517779535,0.326923076923077,828
0.7,1,3,6,-0.5205277529013924,0.2692307692307693,3478
0.33,2,5,5,0.8073616838469315,0.3076923076923076,743
0.31,2,4,4,-0.5904166706249895,0.28846153846153844,544
0.51,3,5,5,-0.7301945060721785,0.2500000000000001,1628
0.41,3,4,6,-0.10119424655981511,0.2500000000000001,1007
1.08,1,1,2,-0.10119424655981511,0.2692307692307693,5352
0.25,1,4,5,0.6675838483997424,0.21153846153846156,438
0.9,4,2,7,1.1568062724649117,0.326923076923077,7214
0.41,1,7,5,0.6675838483997424,0.21153846153846156,648
0.52,2,1,4,-0.5904166706249895,0.28846153846153844,1619
0.36,3,2,3,1.2266951901885088,0.28846153846153844,593
0.42,2,3,4,0.10847250661097103,0.28846153846153844,945
0.78,3,6,2,0.5278060129525484,0.28846153846153844,2132
1.88,3,1,2,1.0170284370177227,0.326923076923077,9791
0.5,4,2,4,-1.3591947655845469,0.2692307692307693,1395
1.09,3,3,5,0.8073616838469315,0.28846153846153844,7598
0.3,3,4,3,-2.0580839428205078,0.326923076923077,447
1.05,2,4,4,0.7374727661233345,0.28846153846153844,6181
0.33,1,1,5,-0.5205277529013924,0.2500000000000001,1077
0.33,3,4,6,0.7374727661233345,0.2692307692307693,752
1.53,2,6,4,0.17836142433456806,0.28846153846153844,10196
1.5,1,4,3,-0.5205277529013924,0.2692307692307693,12009
0.31,3,4,4,0.8772506015705285,0.21153846153846156,544
1.02,4,3,4,1.0869173547413147,0.3076923076923076,6479
1.01,2,4,3,0.6675838483997424,0.3076923076923076,4808
0.32,1,4,6,0.2482503420581651,0.2692307692307693,936
1.8,1,3,3,0.038583588887373996,0.2692307692307693,16513
2.01,5,4,3,6.188808348563825,0.40384615384615385,18574
1.12,2,4,2,-0.5205277529013924,0.326923076923077,3838
1.01,3,4,5,1.0170284370177227,0.28846153846153844,6618
0.7,3,6,7,-0.38074991745419834,0.28846153846153844,2513
1.2,1,2,6,-0.17108316428341216,0.2692307692307693,11883
2.17,2,3,2,-1.708639354202527,0.34615384615384615,13084
0.42,1,3,4,0.17836142433456806,0.23076923076923073,872
0.32,3,1,6,-1.149528012413756,0.28846153846153844,791
2.4,2,7,3,-1.429083683308139,0.28846153846153844,15920
0.32,3,2,3,1.0869173547413147,0.23076923076923073,672
1.01,1,4,2,0.45791709522895124,0.2500000000000001,4242
0.61,1,4,5,0.038583588887373996,0.2500000000000001,2041
1.37,1,4,7,0.5976949306761453,0.23076923076923073,12342
0.71,2,5,2,-0.17108316428341216,0.326923076923077,1826
0.41,2,4,4,0.038583588887373996,0.28846153846153844,1061
0.34,3,4,6,-0.03130532883621808,0.2500000000000001,775
0.32,2,5,4,0.6675838483997424,0.28846153846153844,605
0.54,1,5,4,-0.17108316428341216,0.23076923076923073,1453
0.37,2,1,5,-1.0796390946901588,0.326923076923077,803
1.51,2,3,4,0.5278060129525484,0.28846153846153844,14294
1.05,5,1,2,2.5545846269368377,0.3076923076923076,3816
1.2,3,4,4,0.9471395192941255,0.2692307692307693,7371
0.83,1,3,3,0.31813925978176216,0.23076923076923073,3560
0.73,2,3,5,0.10847250661097103,0.2500000000000001,2961
1.03,3,4,5,0.31813925978176216,0.2692307692307693,6539
0.41,3,1,6,-0.38074991745419834,0.23076923076923073,1364
0.38,1,2,6,-1.28930584786095,0.34615384615384615,1008
0.55,3,2,6,-0.8000834237957756,0.2500000000000001,2499
1.25,1,5,6,-0.6603055883485865,0.2692307692307693,8789
0.9,1,6,5,0.038583588887373996,0.2500000000000001,3724
0.3,1,4,5,0.31813925978176216,0.23076923076923073,776
0.92,1,7,4,-0.45063883517779535,0.2692307692307693,3215
0.3,2,2,4,0.038583588887373996,0.28846153846153844,844
1.02,1,4,4,0.5278060129525484,0.2692307692307693,6352
0.35,1,6,4,-0.03130532883621808,0.2692307692307693,630
1.53,2,6,2,0.2482503420581651,0.3076923076923076,7539
2.01,2,7,2,-0.2409720820070092,0.326923076923077,12407
0.9,4,3,4,-1.3591947655845469,0.34615384615384615,4253
1.06,3,2,6,0.038583588887373996,0.28846153846153844,9997
0.33,1,4,7,-0.03130532883621808,0.2500000000000001,1114
1.67,3,5,3,-1.63875043647893,0.34615384615384615,11146
0.56,3,2,4,-0.5205277529013924,0.28846153846153844,1755
0.7,1,3,5,0.31813925978176216,0.2500000000000001,2792
0.27,2,3,8,-0.03130532883621808,0.2692307692307693,820
2.01,2,5,3,-0.38074991745419834,0.3653846153846153,12829
1.32,2,5,2,0.6675838483997424,0.28846153846153844,6431
0.38,2,3,7,-0.10119424655981511,0.28846153846153844,1257
1.53,1,4,3,-0.31086099973060627,0.2692307692307693,8529
1.0,2,3,3,0.5976949306761453,0.326923076923077,5197
0.52,1,1,4,0.038583588887373996,0.2500000000000001,1822
0.72,3,2,3,-0.10119424655981511,0.28846153846153844,2688
0.63,1,3,4,-0.38074991745419834,0.2500000000000001,2182
2.51,4,4,2,-1.5688615187553332,0.423076923076923,14251
0.5,1,6,6,-0.8699723415193726,0.2692307692307693,1640
2.14,2,6,3,-1.5688615187553332,0.3076923076923076,15499
0.54,1,4,5,0.10847250661097103,0.21153846153846156,1847
0.33,1,1,4,0.38802817750535423,0.21153846153846156,855
0.83,1,2,3,-0.17108316428341216,0.23076923076923073,4024
0.42,1,3,6,-0.10119424655981511,0.2500000000000001,1221
0.38,1,5,5,0.2482503420581651,0.2384615384615384,714
0.52,1,2,4,0.10847250661097103,0.2500000000000001,1815
1.51,3,5,4,0.10847250661097103,0.2692307692307693,10090
0.36,1,3,8,0.31813925978176216,0.23076923076923073,1215
0.4,2,5,3,0.6675838483997424,0.28846153846153844,666
1.02,2,4,5,0.17836142433456806,0.2500000000000001,6683
1.51,2,4,4,0.6675838483997424,0.28846153846153844,12872
0.91,1,2,3,-0.7301945060721785,0.2500000000000001,3665
0.44,2,4,3,-1.149528012413756,0.326923076923077,990
0.37,1,2,3,-0.2409720820070092,0.2500000000000001,606
0.91,2,4,3,0.5976949306761453,0.28846153846153844,3975
1.02,3,2,2,1.0869173547413147,0.28846153846153844,4540
0.5,1,1,4,-0.45063883517779535,0.2692307692307693,2243
0.4,1,6,6,0.10847250661097103,0.2576923076923078,728
1.59,4,3,3,1.2965841079121059,0.2692307692307693,11716
0.39,1,5,3,0.10847250661097103,0.24423076923076936,654
1.02,1,4,3,0.31813925978176216,0.2500000000000001,5082
0.7,1,3,5,0.17836142433456806,0.23076923076923073,2726
0.51,3,3,4,0.9471395192941255,0.28846153846153844,1574
0.4,1,1,4,-0.03130532883621808,0.2500000000000001,1172
1.5,3,6,4,0.8772506015705285,0.2692307692307693,8662
1.07,3,3,8,-1.63875043647893,0.3076923076923076,11019
2.06,1,5,2,0.17836142433456806,0.2692307692307693,11040
1.56,4,7,4,-2.896750955503657,0.423076923076923,6966
1.23,1,3,5,-0.31086099973060627,0.2692307692307693,8679
0.7,2,4,4,0.5278060129525484,0.23076923076923073,2479
0.25,3,2,4,1.0869173547413147,0.2500000000000001,436
0.38,1,4,3,0.17836142433456806,0.23076923076923073,969
0.34,2,4,4,-1.0796390946901588,0.28846153846153844,596
0.31,1,5,8,0.17836142433456806,0.2500000000000001,772
0.76,1,6,3,0.38802817750535423,0.2692307692307693,2474
1.51,2,7,4,-0.7301945060721785,0.326923076923077,7357
1.02,2,4,4,0.5976949306761453,0.3076923076923076,5978
0.31,1,2,4,0.038583588887373996,0.21153846153846156,680
0.9,3,6,4,0.45791709522895124,0.28846153846153844,3398
2.04,3,7,4,0.45791709522895124,0.2692307692307693,13825
0.33,1,3,4,0.38802817750535423,0.2500000000000001,854
0.7,2,3,2,-0.38074991745419834,0.3076923076923076,1792
0.34,1,4,8,-0.10119424655981511,0.2500000000000001,1084
0.54,1,6,3,-1.219416930137353,0.3076923076923076,1170
0.4,1,2,2,-0.38074991745419834,0.23076923076923073,666
0.4,2,1,5,-0.5904166706249895,0.28846153846153844,1200
0.42,1,5,6,0.17836142433456806,0.2692307692307693,823
2.13,2,5,2,0.45791709522895124,0.2500000000000001,12753
2.04,2,7,4,-0.2409720820070092,0.3076923076923076,13600
1.01,3,4,3,0.8772506015705285,0.2692307692307693,4890
0.71,1,6,4,-0.17108316428341216,0.23076923076923073,2878
0.7,3,2,3,1.0170284370177227,0.2692307692307693,2617
1.0,2,5,8,-0.8000834237957756,0.2692307692307693,7235
0.4,1,3,6,0.45791709522895124,0.2692307692307693,1088
0.35,1,3,4,0.45791709522895124,0.23076923076923073,706
0.33,1,3,7,0.038583588887373996,0.23076923076923073,1141
1.7,2,2,3,0.38802817750535423,0.2692307692307693,15662
0.42,2,4,4,-1.3591947655845469,0.28846153846153844,847
0.55,3,6,2,0.9471395192941255,0.28846153846153844,1041
0.6,2,3,2,-1.9881950250969103,0.3076923076923076,1378
0.35,1,3,7,-0.8000834237957756,0.2692307692307693,994
0.58,4,2,5,-2.1978617782676966,0.40384615384615385,2185
0.3,1,2,7,-0.03130532883621808,0.2692307692307693,1071
0.56,1,5,3,-0.10119424655981511,0.2500000000000001,1612
1.52,1,6,4,0.2482503420581651,0.3076923076923076,9465
0.7,2,2,3,-2.1978617782676966,0.326923076923077,2657
0.5,2,4,5,-0.5904166706249895,0.28846153846153844,1746
0.4,3,7,8,0.31813925978176216,0.34615384615384615,828
1.0,2,3,4,-1.28930584786095,0.3076923076923076,5864
0.7,2,5,3,-1.9183061073733132,0.326923076923077,2331
0.59,3,3,3,-0.03130532883621808,0.2692307692307693,1412
0.38,4,3,4,-3.8751958036340004,0.34615384615384615,873
2.01,4,1,2,-1.28930584786095,0.423076923076923,16624
0.38,1,2,5,-0.7301945060721785,0.2500000000000001,933
0.42,1,4,6,0.2482503420581651,0.2692307692307693,1103
0.43,2,1,4,-1.429083683308139,0.3076923076923076,901
1.16,2,5,3,-1.0796390946901588,0.3076923076923076,5480
0.57,2,4,5,0.45791709522895124,0.28846153846153844,1949
0.54,1,1,5,0.17836142433456806,0.2500000000000001,1941
0.61,4,4,5,-1.0796390946901588,0.34615384615384615,1785
0.7,2,7,5,-0.5904166706249895,0.28846153846153844,2005
0.3,3,4,6,0.8772506015705285,0.2692307692307693,684
1.04,3,5,3,-1.9881950250969103,0.3846153846153847,4484
1.2,2,5,3,0.45791709522895124,0.28846153846153844,5718
0.53,1,4,4,0.038583588887373996,0.2500000000000001,1607
1.53,3,4,4,-1.9881950250969103,0.3076923076923076,13225
0.7,3,1,3,1.2266951901885088,0.28846153846153844,2686
1.0,3,2,2,0.45791709522895124,0.2692307692307693,4620
0.31,1,1,2,0.17836142433456806,0.2500000000000001,462
1.22,1,7,3,-0.8000834237957756,0.2500000000000001,5586
0.71,2,3,3,-2.267750695991294,0.3076923076923076,2345
0.51,2,4,3,-0.2409720820070092,0.28846153846153844,1071
0.5,1,3,4,0.5278060129525484,0.2692307692307693,1436
0.64,3,1,3,0.38802817750535423,0.28846153846153844,1969
2.01,1,5,2,0.10847250661097103,0.2692307692307693,14167
1.0,1,1,3,0.7374727661233345,0.23076923076923073,5639
0.56,1,6,4,0.2482503420581651,0.21153846153846156,1237
0.53,1,4,3,0.6675838483997424,0.23076923076923073,1308
1.61,1,4,4,0.31813925978176216,0.2500000000000001,9521
1.05,3,2,2,1.0170284370177227,0.3076923076923076,4281
1.04,5,4,5,2.2051400383188575,0.28846153846153844,5633
0.3,2,2,4,0.8073616838469315,0.28846153846153844,844
0.53,1,1,3,0.38802817750535423,0.2500000000000001,1683
0.3,3,1,3,0.31813925978176216,0.28846153846153844,552
1.02,1,4,6,-0.45063883517779535,0.2692307692307693,7898
1.04,1,5,3,0.2482503420581651,0.2692307692307693,4801
1.21,1,6,2,-0.8000834237957756,0.2500000000000001,5184
2.54,3,6,2,1.1568062724649117,0.2500000000000001,12095
0.56,1,2,5,-0.5205277529013924,0.2692307692307693,1978
0.4,1,2,6,-0.03130532883621808,0.2692307692307693,1056
0.79,1,2,4,0.31813925978176216,0.23076923076923073,3827
1.06,2,7,2,0.17836142433456806,0.28846153846153844,3823
0.27,3,2,6,0.10847250661097103,0.28846153846153844,575
1.01,1,6,3,-0.8000834237957756,0.2692307692307693,3999
1.0,3,6,4,1.0170284370177227,0.28846153846153844,3265
1.02,2,1,2,-0.5904166706249895,0.34615384615384615,4381
0.32,1,6,4,-1.0097501769665669,0.2500000000000001,576
0.82,3,4,4,-1.3591947655845469,0.2500000000000001,3535
0.3,1,2,4,-0.31086099973060627,0.28846153846153844,621
0.41,1,5,4,-0.7301945060721785,0.23076923076923073,1163
2.28,3,6,2,0.8073616838469315,0.2692307692307693,16041
0.71,2,6,6,-0.2409720820070092,0.2500000000000001,2386
1.12,2,5,2,-0.5205277529013924,0.3076923076923076,4077
0.72,1,2,2,0.10847250661097103,0.23076923076923073,2398
0.31,1,2,6,-0.45063883517779535,0.2500000000000001,864
1.03,2,4,4,0.38802817750535423,0.3076923076923076,6214
0.24,4,3,7,2.1352511205952553,0.2692307692307693,492
1.55,2,6,3,0.5278060129525484,0.326923076923077,8866
1.31,1,4,5,-0.10119424655981511,0.2692307692307693,12008
1.02,1,3,2,0.2482503420581651,0.2500000000000001,4162
0.83,1,1,3,-0.17108316428341216,0.1923076923076924,3933
1.19,2,2,5,-1.3591947655845469,0.28846153846153844,9263
1.09,2,5,2,0.17836142433456806,0.2692307692307693,4700
0.71,1,3,2,2.4846957092132356,0.1923076923076924,2445
0.32,1,3,3,-0.10119424655981511,0.23076923076923073,648
0.39,4,7,4,1.0869173547413147,0.2500000000000001,581
0.42,2,2,3,0.7374727661233345,0.3076923076923076,992
0.7,2,3,2,-1.0097501769665669,0.28846153846153844,1806
0.58,1,2,6,0.038583588887373996,0.2692307692307693,2694
0.41,2,1,6,0.10847250661097103,0.3076923076923076,1105
1.54,1,5,2,-0.5904166706249895,0.2576923076923078,9452
0.53,1,2,2,0.8772506015705285,0.2692307692307693,1262
0.51,2,4,4,0.5976949306761453,0.2692307692307693,1443
0.52,4,2,4,-0.17108316428341216,0.34615384615384615,1660
0.45,3,1,4,0.8073616838469315,0.2961538461538461,1311
0.5,2,4,3,0.5976949306761453,0.2500000000000001,1286
0.3,1,4,8,0.38802817750535423,0.23076923076923073,863
1.0,4,1,2,1.576139778806489,0.3076923076923076,3634
1.21,1,3,3,-0.45063883517779535,0.23076923076923073,6659
0.31,2,1,2,-0.17108316428341216,0.326923076923077,593
0.34,1,3,4,-0.6603055883485865,0.2692307692307693,699
1.52,4,6,4,1.0869173547413147,0.34615384615384615,8778
0.41,1,3,7,0.38802817750535423,0.1923076923076924,1356
0.72,3,4,4,0.9471395192941255,0.2692307692307693,2732
0.71,2,6,4,-1.219416930137353,0.28846153846153844,1952
0.9,1,6,4,-0.31086099973060627,0.2500000000000001,3805
1.01,4,4,2,1.576139778806489,0.3076923076923076,3461
0.44,1,3,7,-0.17108316428341216,0.2692307692307693,1319
0.27,3,2,6,-1.63875043647893,0.40384615384615385,567
0.31,2,2,4,-0.8000834237957756,0.3076923076923076,872
0.71,1,2,7,0.10847250661097103,0.23076923076923073,4027
0.4,3,2,6,-0.5205277529013924,0.23076923076923073,1106
0.41,1,2,2,-0.17108316428341216,0.28846153846153844,654
1.01,3,5,4,0.5976949306761453,0.34615384615384615,4821
1.01,4,3,2,0.8772506015705285,0.326923076923077,3827
1.51,1,4,5,0.7374727661233345,0.2500000000000001,13811
1.27,2,3,6,-0.31086099973060627,0.326923076923077,11905
0.74,1,2,2,-0.5904166706249895,0.2692307692307693,2594
0.33,1,1,3,0.7374727661233345,0.23076923076923073,780
0.41,2,5,6,0.31813925978176216,0.28846153846153844,961
1.52,5,5,1,2.5545846269368377,0.3653846153846153,4648
0.43,1,3,4,-0.2409720820070092,0.21153846153846156,848
0.5,3,2,6,-1.8484171896497164,0.34615384615384615,2106
0.51,3,1,3,1.2266951901885088,0.23076923076923073,1574
0.51,1,4,6,0.2482503420581651,0.28846153846153844,1844
0.33,3,4,5,-0.31086099973060627,0.2692307692307693,681
0.32,1,1,4,0.38802817750535423,0.2692307692307693,758
0.71,3,4,3,-0.10119424655981511,0.34615384615384615,2515
0.51,3,1,3,0.8772506015705285,0.28846153846153844,1442
1.05,5,5,2,2.1352511205952553,0.23076923076923073,2717
0.3,1,2,6,-0.45063883517779535,0.23076923076923073,837
0.31,1,2,6,-0.9398612592429697,0.34615384615384615,710
0.5,5,1,7,2.904029215554818,0.40384615384615385,1792
1.01,3,4,5,-1.708639354202527,0.2692307692307693,7451
0.58,3,2,3,-0.17108316428341216,0.28846153846153844,1424
1.25,2,5,4,-0.9398612592429697,0.3076923076923076,7378
0.5,4,1,3,1.436361943359295,0.326923076923077,1333
1.7,2,2,2,-1.3591947655845469,0.3076923076923076,9596
2.28,4,7,2,1.2965841079121059,0.2692307692307693,9068
0.59,2,5,6,0.38802817750535423,0.23076923076923073,1886
0.82,2,2,3,0.5278060129525484,0.2500000000000001,3295
0.61,1,2,5,-0.03130532883621808,0.23076923076923073,2285
1.31,3,6,2,-1.4989726010317361,0.326923076923077,5187
0.31,2,4,3,0.45791709522895124,0.23076923076923073,593
1.01,3,2,6,-0.03130532883621808,0.326923076923077,9930
0.91,1,4,5,0.2482503420581651,0.2692307692307693,5795
0.9,2,3,3,0.7374727661233345,0.3076923076923076,3992
0.51,4,2,3,1.506250861082892,0.21153846153846156,1443
0.4,2,5,5,0.5976949306761453,0.28846153846153844,1035
0.9,1,4,2,-0.38074991745419834,0.2692307692307693,3521
1.11,1,2,8,0.038583588887373996,0.23076923076923073,15464
0.43,1,4,3,-0.17108316428341216,0.2692307692307693,790
1.52,2,3,3,0.5976949306761453,0.3076923076923076,11743
0.4,1,4,4,-0.5904166706249895,0.28846153846153844,825
0.91,4,2,3,-1.0796390946901588,0.326923076923077,4523
0.8,2,5,3,-0.17108316428341216,0.28846153846153844,2760
2.15,5,7,1,2.6244735446604297,0.2692307692307693,5430
0.64,2,3,3,-1.149528012413756,0.326923076923077,1901
1.34,1,5,4,-0.38074991745419834,0.2500000000000001,6078
2.0,3,6,3,1.2965841079121059,0.2692307692307693,14057
0.3,1,4,6,-0.17108316428341216,0.23076923076923073,878
0.35,3,1,4,0.5976949306761453,0.2500000000000001,721
0.5,1,3,2,-0.5904166706249895,0.2692307692307693,1094
0.79,1,4,5,0.17836142433456806,0.2500000000000001,3561
1.01,2,1,2,0.5976949306761453,0.326923076923077,4338
0.55,2,2,4,-0.17108316428341216,0.2500000000000001,1881
0.7,1,6,3,-1.28930584786095,0.3076923076923076,2083
0.5,2,5,7,0.5278060129525484,0.28846153846153844,1710
0.9,2,6,4,0.10847250661097103,0.3076923076923076,2857
1.2,1,1,2,-0.03130532883621808,0.2500000000000001,6619
1.01,4,2,2,1.0869173547413147,0.28846153846153844,4149
0.43,1,2,4,0.10847250661097103,0.2500000000000001,981
0.33,2,4,4,0.10847250661097103,0.3076923076923076,743
0.7,4,5,4,1.1568062724649117,0.326923076923077,2394
0.94,1,2,2,-0.5904166706249895,0.2692307692307693,4366
0.31,1,3,7,-0.7301945060721785,0.2692307692307693,1140
0.44,1,2,6,0.038583588887373996,0.2500000000000001,1274
0.56,1,3,2,-0.2409720820070092,0.2692307692307693,1279
1.41,2,3,2,0.6675838483997424,0.2500000000000001,7817
0.99,5,7,3,-2.617195284609274,0.46153846153846156,2949
0.51,1,6,6,-0.8000834237957756,0.2500000000000001,1575
0.36,1,4,6,0.038583588887373996,0.21153846153846156,794
0.75,3,2,3,-1.7785282719261193,0.3076923076923076,3260
0.32,1,5,7,0.8073616838469315,0.2692307692307693,936
0.39,2,4,7,-0.9398612592429697,0.3076923076923076,1170
0.54,1,4,6,-0.6603055883485865,0.2500000000000001,1950
0.7,2,1,5,-0.38074991745419834,0.326923076923077,3425
0.7,2,2,5,0.8073616838469315,0.34615384615384615,3175
2.04,4,7,4,-1.4989726010317361,0.2500000000000001,13550
0.32,1,6,5,-0.5904166706249895,0.2634615384615385,529
0.3,2,4,3,-2.0580839428205078,0.326923076923077,574
0.53,2,5,4,-1.63875043647893,0.3076923076923076,1428
1.24,1,5,7,0.38802817750535423,0.21153846153846156,8489
0.5,2,6,3,-0.03130532883621808,0.28846153846153844,965
0.52,1,4,3,-0.03130532883621808,0.2500000000000001,1266
0.37,2,1,3,0.10847250661097103,0.3076923076923076,681
0.33,1,5,7,-1.0796390946901588,0.326923076923077,698
0.34,2,4,2,0.7374727661233345,0.3076923076923076,574
1.29,2,3,3,0.5278060129525484,0.326923076923077,7730
1.2,4,1,3,1.2266951901885088,0.23076923076923073,5913
0.54,1,4,6,0.038583588887373996,0.2500000000000001,1985
1.09,2,6,2,0.38802817750535423,0.3653846153846153,2708
0.43,4,2,3,0.9471395192941255,0.2500000000000001,739
0.41,1,3,4,-0.2409720820070092,0.23076923076923073,1107
1.01,4,1,3,0.8073616838469315,0.2692307692307693,4977
0.37,2,3,3,-1.0097501769665669,0.28846153846153844,791
0.84,5,4,5,-4.2945293099755775,0.40384615384615385,2724
0.45,5,2,4,2.834140297831216,0.28846153846153844,951
1.2,1,3,5,0.8073616838469315,0.1923076923076924,9032
1.35,3,5,2,0.31813925978176216,0.2500000000000001,6088
0.3,1,4,7,-0.31086099973060627,0.2500000000000001,789
0.9,3,5,5,-0.8699723415193726,0.3846153846153847,4201
0.72,1,4,6,-0.10119424655981511,0.23076923076923073,3002
1.0,1,4,4,-0.8699723415193726,0.2500000000000001,6328
0.3,3,6,5,-0.9398612592429697,0.28846153846153844,473
0.7,1,7,5,0.31813925978176216,0.2500000000000001,1782
2.01,3,6,3,0.7374727661233345,0.326923076923077,14811
0.41,2,4,5,-0.8699723415193726,0.2692307692307693,961
0.34,1,6,8,0.2482503420581651,0.21153846153846156,695
0.91,1,3,2,-0.03130532883621808,0.2500000000000001,4642
1.78,2,5,5,-1.0796390946901588,0.3076923076923076,15460
0.7,2,5,6,-1.4989726010317361,0.3076923076923076,2717
0.4,2,3,3,-0.17108316428341216,0.326923076923077,882
0.33,3,6,7,-1.9881950250969103,0.34615384615384615,609
0.98,5,2,2,-5.901974417618289,0.46153846153846156,2855
